yr,mon,sessions_to_product_page,clicked_to_next_page,clickthrough_rt,orders,products_to_order_rt
2012,3,743,530,0.7133,60,0.0808
2012,4,1447,1029,0.7111,99,0.0684
2012,5,1584,1135,0.7165,108,0.0682
2012,6,1752,1247,0.7118,140,0.0799
2012,7,2018,1438,0.7126,169,0.0837
2012,8,3012,2198,0.7297,228,0.0757
2012,9,3126,2258,0.7223,287,0.0918
2012,10,4030,2948,0.7315,371,0.0921
2012,11,6743,4849,0.7191,618,0.0917
2012,12,5013,3620,0.7221,506,0.1009
2013,1,3380,2595,0.7678,391,0.1157
2013,2,3685,2803,0.7607,497,0.1349
2013,3,3371,2576,0.7642,385,0.1142
2013,4,4362,3356,0.7694,553,0.1268
2013,5,4684,3609,0.7705,571,0.1219
2013,6,4600,3536,0.7687,594,0.1291
2013,7,5020,3890,0.7749,603,0.1201
2013,8,5226,3951,0.7560,608,0.1163
2013,9,5399,4072,0.7542,629,0.1165
2013,10,6038,4564,0.7559,708,0.1173
2013,11,7886,5900,0.7482,861,0.1092
2013,12,8840,7026,0.7948,1047,0.1184
2014,1,7790,6387,0.8199,983,0.1262
2014,2,7960,6485,0.8147,1021,0.1283
2014,3,8110,6669,0.8223,1065,0.1313
2014,4,9744,7958,0.8167,1241,0.1274
2014,5,10261,8465,0.8250,1368,0.1333
2014,6,10011,8260,0.8251,1239,0.1238
2014,7,10837,8958,0.8266,1287,0.1188
2014,8,10768,8980,0.8340,1324,0.1230
2014,9,11128,9156,0.8228,1424,0.1280
2014,10,12335,10235,0.8298,1609,0.1304
2014,11,14476,12020,0.8303,1985,0.1371
2014,12,17240,14609,0.8474,2314,0.1342
2015,1,15217,12992,0.8538,2099,0.1379
2015,2,14373,12187,0.8479,2067,0.1438
2015,3,9022,7723,0.8560,1254,0.1390
